CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Card_use_type,Monthly_Avg_Purchase,Months_used_for_purchase,Months_used_for_cash_adv,Monthly_avg_cash_adv_amt,Limit_Usage,Payment_Ratio,Clusters
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.50978700000002,0.0,12,s,47.7,2.0,0.0,0.0,0.040900749,1.4465084374331385,0
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,s,64.43083333333333,12.0,0.0,0.0,0.33268651493333334,0.9916815374640991,2
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,864.3823028698307,0.0,12,s,1499.0,1.0,1.0,205.788017,0.22222273893333333,0.0,0
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.79123700000002,0.0,12,s,16.0,1.0,0.0,0.0,0.6814286125,2.7710745340120155,1
C10006,1809.8287510000002,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,s,166.66,8.0,0.0,0.0,1.0054604172222223,0.5816014439919931,1
C10008,1823.6527429999999,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.0650820000001,532.03399,0.0,12,s,36.35,12.0,0.0,0.0,0.7928924969565216,1.2763565763909184,1
C10009,1014.9264730000001,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,s,215.3725,4.0,0.0,0.0,0.14498949614285717,2.206279801231432,2
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,s,640.8,2.0,0.0,0.0,0.013838725,11.61260541661563,0
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,s,76.67666666666666,12.0,0.0,0.0,1.0776041158333334,0.4985971930615025,1
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,s,497.3933333333334,3.0,0.0,0.0,0.315397372,4.536308905841152,2
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.20701299999996,0.25,12,s,268.1658333333333,12.0,0.0,0.0,0.5056428733333334,1.2408302469552799,2
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.13798599999998,0.083333,12,s,237.54777777777775,9.0,0.0,0.0,0.12289244919999999,6.593552259354346,2
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,s,0.0,0.0,1.0,346.81139,0.9242575780000001,0.8138163578349816,1
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,s,0.0,0.0,2.0,1392.1373515,0.6906914513333333,1.040880944513964,1
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,s,103.8,5.0,0.0,0.0,0.0164357956,3.477861472789565,0
C10020,3577.9709329999996,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,s,33.22,12.0,0.0,0.0,0.8944927332499999,0.08455146515171079,1
C10021,2016.6846859999998,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,s,22.085,8.0,0.0,0.0,1.0083423429999998,0.01645376624278577,1
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,s,67.99166666666666,12.0,0.0,0.0,0.07352346666666666,27.332817658249457,2
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,s,33.300000000000004,12.0,0.0,0.0,0.056593893,1.3208517163490692,2
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.1788449999999,971.183209,0.0,12,s,51.0,2.0,3.0,81.613495,0.9505689647058824,0.9165920876212347,1
C10028,125.69481699999999,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.77371499999998,164.748819,0.0,12,s,19.44,12.0,0.0,0.0,0.125694817,1.2611545033290952,2
C10030,22.063489999999998,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,s,20.0,5.0,0.0,0.0,0.003197607246376811,1.0067841988012833,2
C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,s,112.30916666666667,12.0,2.0,87.9078775,0.19371222066666666,2.515089884079007,2
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,191.1233,0.3,12,s,57.88999999999999,11.0,0.0,0.0,0.10471704416666668,2.2155838456117074,2
C10036,1656.350781,1.0,0.0,0.0,0.0,99.26436700000001,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.5693110000001,0.0,12,s,0.0,0.0,1.0,99.26436700000001,0.9201948783333334,0.5539193164669131,1
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.6609010000002,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,s,264.5055555555556,9.0,4.0,424.41522525000005,0.8094961656,1.0498025689209787,1
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.33344500000004,0.166667,12,s,0.0,0.0,3.0,1044.3546446666667,0.3685821166666667,10.824905721948921,1
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.11111099999999999,12,s,218.0842857142857,7.0,3.0,729.4732023333332,0.2616299206666667,3.4760702634569567,1
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,s,203.82,1.0,0.0,0.0,0.9121579551111111,0.4820364308659706,1
