"CUST_ID","BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE","Card_use_type","Months_used_for_Purchase","Monthly_Avg_Purchase","Months_used_for_cash_adv","Monthly_Avg_Cash_Adv_Amt","N.o_of_purchase_trans","N.o_of_cash_adv_trans","Limit_Usage","Payment_Ratio","kmeans_model.cluster"
"C10001",40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12,"Installment",2,47.7,0,0,48,0,0.040900749,1.44650843743314,"1"
"C10003",2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12,"One-Off",12,64.4308333333333,0,0,64,0,0.332686514933333,0.991681537464099,"3"
"C10004",1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,126.298059245807,0,12,"One-Off",1,1499,1,205.788017,1499,206,0.222222738933333,0,"1"
"C10005",817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12,"One-Off",1,16,0,0,16,0,0.6814286125,2.77107453401202,"2"
"C10006",1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12,"Installment",8,166.66,0,0,167,0,1.00546041722222,0.581601443991993,"2"
"C10008",1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12,"Installment",12,36.35,0,0,36,0,0.792892496956522,1.27635657639092,"2"
"C10009",1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12,"Both Purchases",4,215.3725,0,0,172,0,0.144989496142857,2.20627980123143,"3"
"C10011",1293.124939,1,920.12,0,920.12,0,1,0,1,0,0,12,1200,1083.301007,2172.697765,0,12,"Installment",12,76.6766666666667,0,0,77,0,1.07760411583333,0.498597193061503,"2"
"C10012",630.794744,0.818182,1492.18,1492.18,0,0,0.25,0.25,0,0,0,6,2000,705.618627,155.549069,0,12,"One-Off",3,497.393333333333,0,0,249,0,0.315397372,4.53630890584115,"3"
"C10013",1516.92862,1,3217.99,2500.23,717.76,0,1,0.25,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12,"Both Purchases",12,268.165833333333,0,0,124,0,0.505642873333333,1.24083024695528,"3"
"C10014",921.693369,1,2137.93,419.96,1717.97,0,0.75,0.166667,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12,"Both Purchases",9,237.547777777778,0,0,82,0,0.1228924492,6.59355225935434,"3"
"C10015",2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,12,"Cash Advance",0,0,1,346.81139,0,347,0.924257578,0.813816357834982,"2"
"C10017",2072.074354,0.875,0,0,0,2784.274703,0,0,0,0.25,3,0,3000,391.974562,376.579631,0,8,"Cash Advance",0,0,2,1392.1373515,0,928,0.690691451333333,1.04088094451396,"2"
"C10018",41.089489,0.454545,519,0,519,0,0.416667,0,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12,"Installment",5,103.8,0,0,65,0,0.0164357956,3.47786147278957,"1"
"C10020",3577.970933,1,398.64,0,398.64,0,1,0,1,0,0,12,4000,1053.980464,12465.54938,0,12,"Installment",12,33.22,0,0,33,0,0.89449273325,0.0845514651517108,"2"
"C10021",2016.684686,1,176.68,0,176.68,0,0.666667,0,0.666667,0,0,8,2000,223.0686,13557.29726,0,12,"Installment",8,22.085,0,0,22,0,1.008342343,0.0164537662427858,"2"
"C10023",132.34224,0.636364,815.9,0,815.9,0,1,0,1,0,0,17,1800,2359.629958,86.329554,0,12,"Installment",12,67.9916666666667,0,0,48,0,0.0735234666666667,27.3328176582495,"3"
